label,task,graph,bitlen,threads,warmup,samples,status,real_s,user_s,sys_s,cpu_ratio,peak_rss_bytes,peak_footprint_bytes,mono_s,wall_s,slept_s,sleep_verdict,loadavg_1m,swap_used_mb,started_utc
t1-0-q8-t1-n6,t1-0,t1-0,8,1,1,6,PROVED_NOWRITE,8.02,14.54,0.13,1.8292,254640128,235995832,8.064,8.064,0.000,OK,2.28,10234.56,2026-08-24T00:53:41Z
t1-a-q8-t1-n6,t1-a,t1-a,8,1,1,6,PROVED_NOWRITE,80.34,135.89,1.11,1.7053,1947074560,1767688160,80.381,80.381,0.000,OK,2.34,10234.56,2026-08-24T00:53:49Z
t2-q8-t1-n6,t2,t2,8,1,1,6,FAIL_rc1,2.22,2.19,0.02,0.9955,98402304,78086672,2.261,2.261,0.000,OK,3.36,10098.56,2026-08-24T00:55:10Z
t1-0-q8-t10-n6,t1-0,t1-0,8,10,1,6,PROVED_NOWRITE,3.56,19.29,1.41,5.8146,225722368,207258464,3.598,3.598,0.000,OK,4.85,10098.56,2026-08-24T00:55:12Z
t1-a-q8-t10-n6,t1-a,t1-a,8,10,1,6,PROVED_NOWRITE,33.94,168.18,5.42,5.1149,1857224704,1718569024,33.976,33.976,0.000,OK,4.85,10098.56,2026-08-24T00:55:16Z
t2-q8-t10-n6,t2,t2,8,10,1,6,FAIL_rc1,1.17,2.43,0.21,2.2564,105021440,84673040,1.215,1.215,0.000,OK,14.10,10082.56,2026-08-24T00:55:50Z
t3-as-8-q8-t1-n8,t3-as-8,t2,8,1,0,8,FAIL_rc1,2.25,2.22,0.02,0.9956,100024320,79708688,2.289,2.290,0.000,OK,13.29,10082.56,2026-08-24T00:55:51Z
t3-as-8-q8-t10-n8,t3-as-8,t2,8,10,0,8,FAIL_rc1,1.20,2.47,0.24,2.2583,104333312,83968504,1.236,1.236,0.000,OK,13.29,10082.56,2026-08-24T00:55:53Z
t2-q12-t1-n6,t2,t2,12,1,1,6,FAIL_rc1,2.21,2.18,0.02,0.9955,96272384,75956752,2.245,2.245,0.000,OK,13.29,10082.56,2026-08-24T00:55:55Z
t1-0-q12-t1-n6,t1-0,t1-0,12,1,1,6,PROVED_NOWRITE,8.08,14.59,0.12,1.8205,203472896,184910496,8.124,8.125,0.001,OK,12.31,10082.56,2026-08-24T00:55:57Z
t1-b-q8-t1-n1,t1-b,t1-b,8,1,1,1,FAIL_rc1,0.01,0.01,0.00,1.0000,31948800,18514376,0.053,0.053,0.000,OK,11.64,10082.56,2026-08-24T00:56:05Z
t1-c-q8-t1-n1,t1-c,t1-c,8,1,1,1,FAIL_rc1,0.01,0.01,0.00,1.0000,32047104,18612680,0.052,0.052,0.000,OK,11.64,10082.56,2026-08-24T00:56:06Z
t1-d-q8-t1-n1,t1-d,t1-d,8,1,1,1,FAIL_rc1,0.02,0.01,0.00,0.5000,32243712,18809288,0.057,0.057,0.000,OK,11.64,10082.56,2026-08-24T00:56:06Z
t3-batch8-q8-t1-n1,t3-batch8,t3,8,1,1,1,FAIL_rc1,0.00,0.00,0.00,,20414464,6570440,0.043,0.043,0.000,OK,11.59,10082.56,2026-08-24T00:56:06Z
