label,task,backend,regime,gadget,threads,nb_tasks,gogc,gomemlimit,warmup,reps,status,real_s,user_s,sys_s,cpu_ratio,peak_rss_bytes,peak_footprint_bytes,involuntary_ctx_switches,compile_ms,setup_ms,srs_ms,pk_bytes,vk_bytes,constraints,domain_cardinality,internal_vars,secret_vars,public_vars,relus,max_abs_intermediate,prove_ms_median,prove_ms_min,prove_ms_max,verify_ms_median,proof_bytes,proof_bytes_raw,mono_s,wall_s,slept_s,sleep_verdict,loadavg_1m,swap_used_mb,started_utc
t1-0-groth16-rA-t10-gdefault-moff-nt0-n5,t1-0,groth16,A,hintedsign,10,0,default,off,1,5,OK,18.85,118.48,1.13,6.3454,620822528,618906608,160548,309.933,14110.240,,44740553,8688,197763,262144,197763,65792,257,0,265403,662.513,654.559,673.977,2.132,196,388,18.892,18.890,-0.002,OK,33.19,8249.81,2026-08-24T18:16:43Z
t2-groth16-rA-t10-gdefault-moff-nt0-n5,t2,groth16,A,hintedsign,10,0,default,off,1,5,OK,28.68,183.30,1.83,6.4550,1048838144,1040696592,287261,400.327,21503.941,,68915955,528,283408,524288,285967,92424,2,448,14623789560139,1113.879,1065.266,1192.851,1.920,196,388,28.720,28.720,-0.001,OK,30.96,8249.81,2026-08-24T18:17:02Z
t1-a-groth16-rA-t10-gdefault-moff-nt0-n3,t1-a,groth16,A,hintedsign,10,0,default,off,1,3,OK,163.68,1064.75,8.80,6.5588,4216537088,4212641248,1268542,2831.332,137285.262,,393253967,25072,1774726,2097152,1774214,590592,769,0,532359,5771.056,5730.811,5845.812,2.753,196,388,163.722,163.723,0.001,OK,30.28,8249.81,2026-08-24T18:17:31Z
t3-groth16-rA-t10-gdefault-moff-nt0-n3,t3,groth16,A,hintedsign,10,0,default,off,1,3,OK,48.29,320.25,2.41,6.6817,1807138816,1801307960,354583,1707.309,38581.267,,136454535,752,973058,1048576,991738,93824,9,3584,19286700869800,1941.312,1913.918,1968.736,1.881,196,388,48.333,48.333,0.000,OK,42.15,8241.81,2026-08-24T18:20:15Z
t1-b-groth16-rA-t10-gdefault-moff-nt0-n1,t1-b,groth16,A,hintedsign,10,0,default,off,0,1,OK,177.12,1168.08,8.16,6.6409,5413879808,5410623760,1256116,6709.727,161892.141,,578425015,98800,3555722,4194304,3552906,592896,3073,0,602681,7773.408,7773.408,7773.408,3.965,196,388,177.165,177.166,0.001,OK,39.35,8241.81,2026-08-24T18:21:04Z
t1-c-groth16-rA-t10-gdefault-moff-nt0-n1,t1-c,groth16,A,hintedsign,10,0,default,off,0,1,OK,403.86,2723.53,33.53,6.8268,6960726016,18867500880,3702531,22484.151,355142.902,,1453343515,393712,10679708,16777216,10667676,602112,12289,0,599015,22667.542,22667.542,22667.542,8.255,196,388,403.922,403.925,0.003,OK,37.45,8241.81,2026-08-24T18:24:05Z
t1-0-plonk-rA-t10-gdefault-moff-nt0-n5,t1-0,plonk,A,hintedsign,10,0,default,off,1,5,OK,72.74,525.65,5.93,7.3079,2617507840,2611661200,1001195,244.793,2105.556,16060.216,67143352,34384,526592,1048576,460543,65792,256,0,265403,9016.392,8836.669,9104.699,1.732,584,904,72.791,72.792,0.001,OK,6.46,39826.38,2026-08-24T18:51:03Z
t2-plonk-rA-t10-gdefault-moff-nt0-n5,t2,plonk,A,hintedsign,10,0,default,off,1,5,OK,75.90,548.81,4.80,7.2939,2763800576,2707212760,739000,320.719,2397.169,14940.496,67143352,34384,758448,1048576,665126,92424,1,448,14623789560139,9653.859,9525.017,10019.643,1.608,584,904,75.940,75.941,0.001,OK,25.21,12673.94,2026-08-24T18:52:16Z
t1-a-plonk-rA-t10-gdefault-moff-nt0-n3,t1-a,plonk,A,hintedsign,10,0,default,off,1,3,OK,508.12,3221.28,59.18,6.4561,12532776960,16806261168,4622010,2244.020,15455.666,119740.199,536905400,34384,4723968,8388608,4132607,590592,768,0,532359,95125.691,88256.540,113894.516,3.348,584,904,508.182,508.186,0.004,OK,29.94,12076.81,2026-08-24T18:53:32Z
t3-plonk-rA-t10-gdefault-moff-nt0-n3,t3,plonk,A,hintedsign,10,0,default,off,1,3,OK,219.96,1567.49,13.30,7.1867,8759066624,8733137544,1707464,935.480,7947.716,64169.548,268469944,34384,2188800,4194304,2087799,93824,8,3584,19286700869800,36660.758,36012.439,36828.193,1.613,584,904,220.021,220.019,-0.002,OK,61.33,16343.94,2026-08-24T19:02:01Z
