label,task,backend,regime,gadget,threads,nb_tasks,gogc,gomemlimit,warmup,reps,status,real_s,user_s,sys_s,cpu_ratio,peak_rss_bytes,peak_footprint_bytes,involuntary_ctx_switches,compile_ms,setup_ms,srs_ms,pk_bytes,vk_bytes,constraints,domain_cardinality,internal_vars,secret_vars,public_vars,relus,max_abs_intermediate,prove_ms_median,prove_ms_min,prove_ms_max,verify_ms_median,proof_bytes,proof_bytes_raw,mono_s,wall_s,slept_s,sleep_verdict,loadavg_1m,swap_used_mb,started_utc
t1-0-groth16-rA-t10-gdefault-moff-nt0-n3,t1-0,groth16,A,hintedsign,10,0,default,off,1,3,OK,17.78,108.39,0.77,6.1395,576618496,571196376,100063,290.848,13819.351,,44740553,8688,197763,262144,197763,65792,257,0,265403,682.533,647.097,886.674,2.089,196,388,17.822,17.822,0.000,OK,6.19,8353.81,2026-08-24T17:45:37Z
t1-0-groth16-rB-t10-gdefault-moff-nt0-n3,t1-0,groth16,B,hintedsign,10,0,default,off,1,3,OK,0.31,0.90,0.04,3.0323,22757376,17072704,8382,161.982,96.247,,224935,8688,1026,2048,1026,256,257,0,265403,9.647,9.558,9.913,2.023,196,388,0.347,0.347,0.000,OK,17.13,8337.81,2026-08-24T17:45:55Z
t1-0-plonk-rA-t10-gdefault-moff-nt0-n3,t1-0,plonk,A,hintedsign,10,0,default,off,1,3,OK,51.52,397.04,2.96,7.7640,2397143040,2354759912,395014,217.436,1976.386,14561.270,67143352,34384,526592,1048576,460543,65792,256,0,265403,8518.512,8502.741,8909.184,1.647,584,904,51.575,51.575,0.000,OK,16.32,8337.81,2026-08-24T17:45:56Z
t2-groth16-rA-t10-gdefault-moff-nt0-n3,t2,groth16,A,hintedsign,10,0,default,off,1,3,OK,24.59,165.12,0.89,6.7511,905560064,900187336,105073,392.755,20040.182,,68915955,528,283408,524288,285967,92424,2,448,14623789560139,1030.006,994.493,1040.998,1.940,196,388,24.631,24.631,0.000,OK,25.74,8337.81,2026-08-24T17:46:47Z
t1-0-groth16-rB-t10-g400-moff-nt0-n2,t1-0,groth16,B,hintedsign,10,0,400,off,1,2,OK,0.27,0.78,0.02,2.9630,32358400,26903104,2832,128.066,102.487,,224935,8688,1026,2048,1026,256,257,0,265403,9.226,9.149,9.302,2.082,196,388,0.310,0.310,0.000,OK,8.81,8297.81,2026-08-24T17:54:53Z
t1-0-groth16-rB-t10-g100-moff-nt0-n2,t1-0,groth16,B,hintedsign,10,0,100,off,1,2,OK,0.31,0.84,0.06,2.9032,21807104,16319088,13259,173.696,99.985,,224935,8688,1026,2048,1026,256,257,0,265403,10.114,9.900,10.329,2.095,196,388,0.352,0.352,0.000,OK,8.81,8297.81,2026-08-24T17:54:53Z
t1-0-groth16-rB-t10-g50-moff-nt0-n2,t1-0,groth16,B,hintedsign,10,0,50,off,1,2,OK,0.38,0.93,0.09,2.6842,19660800,14025232,22255,237.225,102.883,,224935,8688,1026,2048,1026,256,257,0,265403,10.601,10.440,10.762,2.162,196,388,0.420,0.420,-0.000,OK,8.81,8297.81,2026-08-24T17:54:54Z
t1-0-groth16-rB-t10-g25-moff-nt0-n2,t1-0,groth16,B,hintedsign,10,0,25,off,1,2,OK,0.38,0.93,0.09,2.6842,19234816,13648448,22518,232.384,101.082,,224935,8688,1026,2048,1026,256,257,0,265403,11.379,10.902,11.856,2.024,196,388,0.422,0.422,0.000,OK,8.81,8297.81,2026-08-24T17:54:54Z
t1-0-groth16-rB-t10-gdefault-m512MiB-nt0-n2,t1-0,groth16,B,hintedsign,10,0,default,512MiB,1,2,OK,0.32,0.85,0.05,2.8125,21594112,16089664,10796,174.098,103.508,,224935,8688,1026,2048,1026,256,257,0,265403,10.441,10.440,10.442,2.127,196,388,0.360,0.360,0.000,OK,8.81,8297.81,2026-08-24T17:54:55Z
t1-0-groth16-rB-t10-gdefault-moff-nt1-n2,t1-0,groth16,B,hintedsign,10,1,default,off,1,2,OK,0.32,0.84,0.05,2.7812,21856256,16253480,12358,169.004,106.604,,224935,8688,1026,2048,1026,256,257,0,265403,12.776,12.706,12.847,2.107,196,388,0.361,0.361,0.000,OK,8.81,8297.81,2026-08-24T17:54:55Z
t1-0-groth16-rB-t10-gdefault-moff-nt2-n2,t1-0,groth16,B,hintedsign,10,2,default,off,1,2,OK,0.32,0.84,0.06,2.8125,20561920,14975528,14243,172.538,102.965,,224935,8688,1026,2048,1026,256,257,0,265403,11.146,11.083,11.210,2.162,196,388,0.358,0.358,0.000,OK,8.82,8297.81,2026-08-24T17:54:56Z
t1-0-groth16-rB-t10-gdefault-moff-nt4-n2,t1-0,groth16,B,hintedsign,10,4,default,off,1,2,OK,0.32,0.84,0.05,2.7812,22921216,17400384,12106,171.856,105.396,,224935,8688,1026,2048,1026,256,257,0,265403,10.710,10.473,10.948,2.326,196,388,0.358,0.358,0.000,OK,8.82,8297.81,2026-08-24T17:54:57Z
t1-0-groth16-rB-t10-gdefault-moff-nt10-n2,t1-0,groth16,B,hintedsign,10,10,default,off,1,2,OK,0.31,0.84,0.05,2.8710,21725184,16302656,11067,168.130,101.214,,224935,8688,1026,2048,1026,256,257,0,265403,10.040,9.884,10.196,2.241,196,388,0.352,0.352,0.000,OK,8.82,8297.81,2026-08-24T17:54:57Z
