label,task,threads,padding,warmup,reps,status,real_s,user_s,sys_s,cpu_ratio,peak_rss_bytes,peak_footprint_bytes,involuntary_ctx_switches,setup_ms,prove_ms_median,prove_ms_min,prove_ms_max,verify_ms_median,proof_bytes,max_num_vars,mono_s,wall_s,slept_s,sleep_verdict,loadavg_1m,swap_used_mb,started_utc
t1-0-t1-p1-n5,t1-0,1,1,1,5,OK,0.48,0.91,0.04,1.9792,26542080,18874752,16871,49.398,64.981,64.839,65.212,5.595,21419,12,0.515,0.515,-0.000,OK,4.41,7608.94,2026-08-24T13:32:34Z
t1-a-t1-p1-n5,t1-a,1,1,1,5,OK,1.53,2.90,0.06,1.9346,85458944,77824432,18346,165.511,204.592,203.416,204.669,22.056,23435,14,1.568,1.568,-0.000,OK,4.41,7608.94,2026-08-24T13:32:35Z
t1-b-t1-p1-n5,t1-b,1,1,1,5,OK,4.24,9.00,0.13,2.1533,218218496,210715224,21731,571.005,584.626,581.412,592.471,22.419,25307,16,4.283,4.282,-0.000,OK,4.38,7608.94,2026-08-24T13:32:36Z
t1-c-t1-p1-n5,t1-c,1,1,1,5,OK,15.24,31.18,0.32,2.0669,529760256,522404656,25630,2064.030,2163.259,2148.273,2180.329,22.419,27179,18,15.278,15.277,-0.001,OK,4.09,7608.94,2026-08-24T13:32:51Z
t1-d-t1-p1-n5,t1-d,1,1,1,5,OK,58.57,115.39,1.99,2.0041,1954643968,1948010320,197705,8203.784,8533.842,7764.624,9194.636,26.316,29051,20,58.638,58.636,-0.003,OK,3.72,7608.94,2026-08-24T13:33:06Z
t1-0-t1-p0-n5,t1-0,1,0,1,5,OK,1.34,0.92,0.05,0.7239,26509312,18841984,16781,72.189,63.317,62.671,63.743,5.447,21419,12,1.384,1.384,-0.000,OK,1.42,7608.94,2026-08-24T13:55:59Z
t1-a-t1-p0-n5,t1-a,1,0,1,5,FAIL_rc101,0.22,0.20,0.00,0.9091,29343744,21922128,1196,162.190,,,,,,14,0.251,0.251,-0.000,OK,1.42,7608.94,2026-08-24T13:56:01Z
t1-b-t1-p0-n5,t1-b,1,0,1,5,FAIL_rc101,0.65,0.63,0.01,0.9846,49414144,42058136,1277,548.657,,,,,,16,0.692,0.692,-0.000,OK,1.42,7608.94,2026-08-24T13:56:01Z
t1-c-t1-p0-n5,t1-c,1,0,1,5,FAIL_rc101,2.49,2.43,0.05,0.9960,103399424,96059824,1604,2170.890,,,,,,18,2.531,2.531,-0.000,OK,1.42,7608.94,2026-08-24T13:56:02Z
t1-d-t1-p0-n5,t1-d,1,0,1,5,FAIL_rc101,9.61,9.41,0.18,0.9979,312344576,305103448,2118,8453.868,,,,,,20,9.651,9.651,-0.000,OK,1.55,7608.94,2026-08-24T13:56:05Z
t1-a-t4-p1-n5,t1-a,4,1,1,5,OK,0.79,3.56,0.33,4.9241,93962240,86360616,52799,49.503,114.184,105.505,127.649,8.953,23435,14,0.826,0.826,-0.000,OK,2.41,7608.94,2026-08-24T13:56:39Z
t1-c-t4-p1-n5,t1-c,4,1,1,5,OK,5.87,35.72,0.65,6.1959,562118656,554730312,79227,556.094,841.163,786.991,971.711,9.661,27179,18,5.903,5.903,-0.000,OK,2.41,7608.94,2026-08-24T13:56:40Z
t1-a-t10-p1-n5,t1-a,10,1,1,5,OK,0.89,4.62,2.08,7.5281,95158272,87523832,128862,31.845,135.542,130.293,139.184,7.813,23435,14,0.933,0.933,-0.000,OK,7.67,7608.94,2026-08-24T13:56:46Z
t1-c-t10-p1-n5,t1-c,10,1,1,5,OK,5.28,41.16,2.96,8.3561,523976704,516736032,189146,305.135,808.092,791.208,839.917,8.528,27179,18,5.321,5.321,-0.000,OK,7.67,7608.94,2026-08-24T13:56:47Z
t2-t1-p1-n5,t2,1,1,1,5,FAIL_einsum_unsupported,0.06,0.05,0.00,0.8333,14237696,8339792,395,50.803,,,,,,12,0.098,0.098,-0.000,OK,3.71,7250.06,2026-08-24T14:05:19Z
t3-t1-p1-n5,t3,1,1,1,5,FAIL_einsum_unsupported,0.37,0.35,0.01,0.9730,26050560,18153856,1649,329.346,,,,,,15,0.409,0.409,-0.000,OK,3.71,7250.06,2026-08-24T14:05:19Z
