label,task,field,route,threads,warmup,reps,status,smoke,real_s,user_s,sys_s,cpu_ratio,peak_rss_bytes,peak_footprint_bytes,padded_macs,padding_factor,sumcheck_rounds,reduction_field_muls,prove_median_nanos,verify_median_nanos,proof_bytes_median,setup_nanos,integer_faithful,mono_s,wall_s,slept_s,sleep_verdict,loadavg_1m,swap_used_mb,started_utc
t1-0-koala-bear-sumcheck-t1-n1,t1-0,koala-bear,sumcheck,1,1,1,OK,SMOKE,0.00,0.00,0.00,,3948544,2703672,65536,1.0,8,66561,406375.0,37083.0,290.0,0,True,0.039,0.039,0.000,OK,3.20,5448.62,2026-09-03T05:54:26Z
t1-0-binary128-sumcheck-t1-n1,t1-0,binary128,sumcheck,1,1,1,OK,SMOKE,0.01,0.00,0.00,0.0000,4276224,2965816,65536,1.0,8,66561,3494250.0,53458.0,339.0,0,False,0.043,0.043,-0.000,OK,3.20,5448.62,2026-09-03T05:54:26Z
t1-0-koala-bear-sumcheck-whir-t1-n1,t1-0,koala-bear,sumcheck-whir,1,1,1,OK,SMOKE,0.08,0.08,0.00,1.0000,11206656,9339192,65536,1.0,8,66561,38981000.0,1076458.0,42505.0,168750,True,0.116,0.116,0.000,OK,3.20,5448.62,2026-09-03T05:54:26Z
t1-0-koala-bear-sumcheck-t1-n5,t1-0,koala-bear,sumcheck,1,1,5,OK,CAMPAIGN,0.30,0.01,0.00,0.0333,3489792,2228536,65536,1.0,8,66561,1716500.0,185917.0,290.0,0,True,0.341,0.341,-0.000,OK,2.92,5376.56,2026-09-03T10:25:00Z
t1-0-binary128-sumcheck-t1-n5,t1-0,binary128,sumcheck,1,1,5,OK,CAMPAIGN,0.02,0.02,0.00,1.0000,4947968,3621176,65536,1.0,8,66561,3495125.0,42417.0,339.0,0,False,0.069,0.069,0.000,OK,2.92,5376.56,2026-09-03T10:25:01Z
t1-a-koala-bear-sumcheck-t1-n5,t1-a,koala-bear,sumcheck,1,1,5,OK,CAMPAIGN,0.04,0.03,0.00,0.7500,16990208,15745360,1048576,1.7777777777777777,10,1052673,5114250.0,114375.0,354.0,0,True,0.081,0.081,0.000,OK,2.92,5376.56,2026-09-03T10:25:01Z
t1-a-binary128-sumcheck-t1-n5,t1-a,binary128,sumcheck,1,1,5,OK,CAMPAIGN,0.36,0.35,0.00,0.9722,29736960,28426576,1048576,1.7777777777777777,10,1052673,56875708.0,136500.0,413.0,0,False,0.403,0.403,-0.000,OK,2.92,5376.56,2026-09-03T10:25:01Z
t1-0-koala-bear-sumcheck-t10-n5,t1-0,koala-bear,sumcheck,10,1,5,OK,CAMPAIGN,0.00,0.00,0.00,,3522560,2261304,65536,1.0,8,66561,330625.0,34000.0,290.0,0,True,0.048,0.048,-0.000,OK,3.09,5376.56,2026-09-03T10:25:02Z
t1-0-binary128-sumcheck-t10-n5,t1-0,binary128,sumcheck,10,1,5,OK,CAMPAIGN,0.02,0.02,0.00,1.0000,4915200,3588408,65536,1.0,8,66561,3549125.0,39334.0,339.0,0,False,0.065,0.065,0.000,OK,3.09,5376.56,2026-09-03T10:25:02Z
t1-a-koala-bear-sumcheck-t10-n5,t1-a,koala-bear,sumcheck,10,1,5,OK,CAMPAIGN,0.04,0.03,0.00,0.7500,17006592,15761744,1048576,1.7777777777777777,10,1052673,5095333.0,113291.0,354.0,0,True,0.078,0.078,-0.000,OK,3.09,5376.56,2026-09-03T10:25:02Z
t1-a-binary128-sumcheck-t10-n5,t1-a,binary128,sumcheck,10,1,5,OK,CAMPAIGN,0.36,0.35,0.00,0.9722,29753344,28442960,1048576,1.7777777777777777,10,1052673,56980250.0,133250.0,413.0,0,False,0.402,0.402,0.000,OK,3.09,5376.56,2026-09-03T10:25:02Z
t1-0-koala-bear-sumcheck-whir-t1-n5,t1-0,koala-bear,sumcheck-whir,1,1,5,OK,CAMPAIGN,0.25,0.24,0.01,1.0000,14991360,13140304,65536,1.0,8,66561,40842125.0,1116417.0,42505.0,274792,True,0.297,0.297,0.000,OK,3.09,5376.56,2026-09-03T10:25:03Z
t1-a-koala-bear-sumcheck-whir-t1-n5,t1-a,koala-bear,sumcheck-whir,1,1,5,OK,CAMPAIGN,3.75,3.69,0.04,0.9947,105807872,104006040,1048576,1.7777777777777777,10,1052673,618558958.0,1775833.0,63935.0,2076750,True,3.792,3.792,0.000,OK,3.09,5376.56,2026-09-03T10:25:03Z
t1-0-koala-bear-sumcheck-whir-t10-n5,t1-0,koala-bear,sumcheck-whir,10,1,5,OK,CAMPAIGN,0.10,0.47,0.21,6.8000,17285120,15450472,65536,1.0,8,66561,14192208.0,1141875.0,42857.0,299792,True,0.144,0.144,0.000,OK,3.32,5376.56,2026-09-03T10:25:07Z
t1-a-koala-bear-sumcheck-whir-t10-n5,t1-a,koala-bear,sumcheck-whir,10,1,5,OK,CAMPAIGN,0.69,4.42,0.51,7.1449,114868224,113082800,1048576,1.7777777777777777,10,1052673,106144541.0,1746708.0,63839.0,1998250,True,0.728,0.728,0.000,OK,3.32,5376.56,2026-09-03T10:25:07Z
t1-a-koala-bear-sumcheck-whir-t1-n6,t1-a,koala-bear,sumcheck-whir,1,1,6,OK,CAMPAIGN,4.32,3.79,0.04,0.8866,108838912,107037080,1048576,1.7777777777777777,10,1052673,538606208.5,5588021.0,228814.0,1849917,True,4.363,4.363,-0.000,OK,8.85,5376.56,2026-09-03T10:40:38Z
t1-a-koala-bear-sumcheck-whir-t10-n6,t1-a,koala-bear,sumcheck-whir,10,1,6,OK,CAMPAIGN,0.77,4.60,0.45,6.5584,112656384,110870960,1048576,1.7777777777777777,10,1052673,98692396.0,5591104.0,229150.0,1773417,True,0.816,0.816,-0.000,OK,8.46,5376.56,2026-09-03T10:40:42Z
t1-0-koala-bear-sumcheck-whir-t1-n6,t1-0,koala-bear,sumcheck-whir,1,1,6,OK,CAMPAIGN,0.24,0.23,0.00,0.9583,15024128,13189456,65536,1.0,8,66561,30792417.0,3267708.0,132519.0,180750,True,0.287,0.287,-0.000,OK,8.46,5376.56,2026-09-03T10:40:43Z
t1-0-koala-bear-sumcheck-t1-n6,t1-0,koala-bear,sumcheck,1,1,6,OK,CAMPAIGN,0.00,0.00,0.00,,3473408,2212152,65536,1.0,8,66561,331042.0,33916.5,290.0,0,True,0.042,0.042,-0.000,OK,8.11,5376.56,2026-09-03T10:40:43Z
