label,task,log_inv_rate,threads,warmup,reps,status,real_s,user_s,sys_s,cpu_ratio,peak_rss_bytes,peak_footprint_bytes,mono_s,wall_s,slept_s,sleep_verdict,loadavg_1m,swap_used_mb,started_utc
t1-0-r1-t1,t1-0,1,1,1,5,OK,1.34,1.25,0.08,0.9925,599588864,534414104,1.380,1.380,0.000,OK,6.24,9041.88,2026-08-23T18:22:26Z
t1-0-r4-t1,t1-0,4,1,1,5,OK,1.88,1.79,0.09,1.0000,733265920,666682280,1.917,1.917,0.000,OK,6.24,9041.88,2026-08-23T18:22:27Z
t2-r1-t1,t2,1,1,1,5,OK,2.28,2.13,0.14,0.9956,1112375296,1045382296,2.319,2.319,0.000,OK,6.30,9041.88,2026-08-23T18:22:29Z
t2-r4-t1,t2,4,1,1,5,OK,2.83,2.67,0.15,0.9965,1194393600,1127728352,2.863,2.863,0.000,OK,6.30,9041.88,2026-08-23T18:22:32Z
t3-r1-t1,t3,1,1,1,5,OK,18.71,16.94,1.73,0.9979,7984726016,7479695408,18.745,18.745,0.000,OK,5.95,9033.88,2026-08-23T18:22:35Z
t3-r4-t1,t3,4,1,1,5,OK,22.79,20.89,1.86,0.9982,8708505600,8192399864,22.846,22.846,0.000,OK,5.02,9033.88,2026-08-23T18:22:53Z
t1-a-r1-t1,t1-a,1,1,1,5,OK,18.30,16.58,1.66,0.9967,7804174336,7275222944,18.340,18.340,0.000,OK,3.94,9033.88,2026-08-23T18:23:16Z
t1-a-r4-t1,t1-a,4,1,1,5,OK,21.96,20.33,1.62,0.9995,8459730944,7930534224,21.997,21.997,0.000,OK,3.39,9033.88,2026-08-23T18:23:35Z
t1-b-r1-t1,t1-b,1,1,1,5,OK,127.19,68.56,42.47,0.8729,16688644096,27564889376,127.248,127.249,0.001,OK,3.15,9033.88,2026-08-23T18:24:04Z
t1-b-r4-t1,t1-b,4,1,1,5,OK,147.71,76.49,50.01,0.8564,16642195456,27995428440,147.770,147.771,0.001,OK,3.45,9033.88,2026-08-23T18:26:11Z
t1-c-r1-t1,t1-c,1,1,0,1,OK,219.39,67.87,71.16,0.6337,16488759296,87180184752,219.421,219.460,0.038,OK,5.69,9033.88,2026-08-23T18:30:01Z
t1-c-r1-t1,t1-c,1,1,0,3,OK,1081.88,154.71,254.61,0.3783,19149373440,92993641776,1081.967,1081.980,0.013,OK,5.39,12051.62,2026-08-23T18:34:20Z
t1-c-r4-t1,t1-c,4,1,0,3,FAIL_rc143,,,,,,,22.159,22.159,0.000,OK,3.35,13457.12,2026-08-23T18:52:22Z
t1-c-r4-t1,t1-c,4,1,0,1,OK,234.79,72.33,70.75,0.6094,17896570880,91132008744,235.620,235.622,0.003,OK,5.17,11598.19,2026-08-23T18:53:00Z
t1-d-r1-t1-n1,t1-d,1,1,0,1,FAIL_rc1,151.37,71.58,55.82,0.8416,21596798976,52025236048,151.432,151.433,0.002,OK,3.21,13319.75,2026-08-23T18:57:23Z
t1-0-r1-t10-n5,t1-0,1,10,1,5,OK,0.67,1.97,0.88,4.2537,607600640,542933856,0.704,0.704,0.000,OK,2.20,12102.75,2026-08-23T19:00:38Z
t1-0-r4-t10-n5,t1-0,4,10,1,5,OK,0.76,2.69,0.99,4.8421,702709760,637060008,0.794,0.794,0.000,OK,2.20,12054.75,2026-08-23T19:00:39Z
t2-r1-t10-n5,t2,1,10,1,5,OK,1.00,3.23,1.23,4.4600,1043283968,976356504,1.031,1.031,0.000,OK,2.20,12054.75,2026-08-23T19:00:39Z
t2-r4-t10-n5,t2,4,10,1,5,OK,1.08,3.91,1.33,4.8519,1134002176,1067107528,1.118,1.118,0.000,OK,2.20,12054.75,2026-08-23T19:00:40Z
t3-r1-t10-n5,t3,1,10,1,5,OK,6.88,26.74,6.42,4.8198,8018198528,7502026872,6.914,6.915,0.000,OK,2.26,12054.75,2026-08-23T19:00:42Z
t3-r4-t10-n5,t3,4,10,1,5,OK,7.47,31.11,6.64,5.0535,8708915200,8192514720,7.504,7.504,0.000,OK,2.72,12054.75,2026-08-23T19:00:49Z
t1-a-r1-t10-n5,t1-a,1,10,1,5,OK,6.45,25.89,6.21,4.9767,7781007360,7251613768,6.483,6.483,0.000,OK,3.41,12046.75,2026-08-23T19:00:56Z
t1-a-r4-t10-n5,t1-a,4,10,1,5,OK,7.03,31.30,6.49,5.3755,8506900480,7977687520,7.068,7.068,0.000,OK,3.94,12046.75,2026-08-23T19:01:03Z
t1-b-r1-t10-n5,t1-b,1,10,1,5,OK,63.67,95.82,119.06,3.3749,20782743552,28138985336,63.745,63.746,0.001,OK,4.09,12022.75,2026-08-23T19:01:17Z
t1-b-r4-t10-n5,t1-b,4,10,1,5,OK,72.29,106.56,139.04,3.3974,20029685760,29395376760,72.349,72.350,0.001,OK,5.02,11548.06,2026-08-23T19:02:21Z
