label,backend,regime,gadget,status,macs,macs_emitted,relus,max_abs_intermediate,static_worst_case,relu_bits,constraints,internal_vars,secret,public,coefficients,instructions,domain_derived,domain_derived_from,padding_ratio,constraints_per_mac,compile_ms,go_heap_alloc_bytes,go_sys_bytes,msg
t1-0,groth16,A,hintedsign,OK,65536,65536,0,265403,4194304,-,197763,197763,65792,257,512,263559,262144,fft.NewDomain(nbConstraints),1.3255,3.0176,302.690,145807512,169376056,
t1-0,groth16,B,hintedsign,OK,65536,65536,0,265403,4194304,-,1026,1026,256,257,512,1286,2048,fft.NewDomain(nbConstraints),1.9961,0.0157,170.148,2473656,14489880,
t1-0,plonk,A,hintedsign,OK,65536,65536,0,265403,4194304,-,526592,460543,65792,256,512,592388,1048576,fft.NewDomain(nbConstraints+nbPublic),1.9903,8.0352,221.759,110935464,187705640,
t1-0,plonk,B,hintedsign,OK,65536,65536,0,265403,4194304,-,67592,67079,256,256,512,67852,131072,fft.NewDomain(nbConstraints+nbPublic),1.9318,1.0314,42.686,11988072,26708232,
t2,groth16,A,hintedsign,OK,92224,92224,448,14623789560139,14411518807585587200,L0:19(max=255443)|L1:29(max=151720706)|L2:38(max=81075383855),283408,285967,92424,2,515,377180,524288,fft.NewDomain(nbConstraints),1.8499,3.0730,406.928,185676976,237189432,
t2,groth16,B,hintedsign,OK,92224,92224,448,14623789560139,14411518807585587200,L0:19(max=255443)|L1:29(max=151720706)|L2:38(max=81075383855),6555,9114,200,2,515,8103,8192,fft.NewDomain(nbConstraints),1.2497,0.0711,220.886,24685976,44566792,
t2,plonk,A,hintedsign,OK,92224,92224,448,14623789560139,14411518807585587200,L0:19(max=255443)|L1:29(max=151720706)|L2:38(max=81075383855),758448,665126,92424,1,515,852220,1048576,fft.NewDomain(nbConstraints+nbPublic),1.3825,8.2240,322.439,241418944,289048904,
t2,plonk,B,hintedsign,OK,92224,92224,448,14623789560139,14411518807585587200,L0:19(max=255443)|L1:29(max=151720706)|L2:38(max=81075383855),110950,109852,200,1,2050,112498,131072,fft.NewDomain(nbConstraints+nbPublic),1.1814,1.2030,71.191,15822408,35428632,
t1-a,groth16,A,hintedsign,OK,589824,589824,0,532359,12582912,-,1774726,1774214,590592,769,512,2365322,2097152,fft.NewDomain(nbConstraints),1.1817,3.0089,2739.037,916228384,1436728920,
t1-a,groth16,B,hintedsign,OK,589824,589824,0,532359,12582912,-,4099,3587,768,769,512,4871,8192,fft.NewDomain(nbConstraints),1.9985,0.0069,1547.284,9187328,40392984,
t1-a,plonk,A,hintedsign,OK,589824,589824,0,532359,12582912,-,4723968,4132607,590592,768,512,5314564,8388608,fft.NewDomain(nbConstraints+nbPublic),1.7755,8.0091,2261.873,915319232,1598071432,
t1-a,plonk,B,hintedsign,OK,589824,589824,0,532359,12582912,-,592927,591390,768,768,512,593699,1048576,fft.NewDomain(nbConstraints+nbPublic),1.7662,1.0053,410.031,78851696,141469992,
t3,groth16,A,hintedsign,OK,737792,737792,3584,19286700869800,14411518807585587200,L0:20(max=315857)|L1:29(max=232370952)|L2:38(max=111810754416),973058,991738,93824,9,515,1077638,1048576,fft.NewDomain(nbConstraints),1.0776,1.3189,1726.040,424920384,588495256,
t3,groth16,B,hintedsign,OK,737792,737792,3584,19286700869800,14411518807585587200,L0:20(max=315857)|L1:29(max=232370952)|L2:38(max=111810754416),41724,54004,1600,9,2050,54080,65536,fft.NewDomain(nbConstraints),1.5707,0.0566,1415.878,116614096,188705064,
t3,plonk,A,hintedsign,OK,737792,737792,3584,19286700869800,14411518807585587200,L0:20(max=315857)|L1:29(max=232370952)|L2:38(max=111810754416),2188800,2087799,93824,8,515,2293380,4194304,fft.NewDomain(nbConstraints+nbPublic),1.9163,2.9667,1032.103,355941240,631515560,
