task,mutation,k,shards_in,shards_out,verdict,detail,elapsed_s
t1-c,M0_LAYOUT,-,49,49,ACCEPTED,"reassembled=56500102 whole=56500102 on_disk=56500102 identical=true",0.0
t1-c,M0_ORIGINAL,-,49,49,ACCEPTED,"",3.536016
t1-c,M0_CONTROL,-,49,49,ACCEPTED,"reassemble all 49 shards in order",3.863766
t1-c,M1_DROP,0,49,48,REJECTED_VERIFY,"shard 0 removed | VerifyError(""0th shard init_pc mismatch: expected 134217728 != 134218356"")",0.007200
t1-c,M1_DROP,24,49,48,REJECTED_VERIFY,"shard 24 removed | VerifyError(""24th shard init_pc mismatch: expected 134218324 != 134218340"")",2.059023
t1-c,M1_DROP,48,49,48,REJECTED_VERIFY,"shard 48 removed | VerifyError(""shard_ec_sum is not infinity"")",3.887501
t1-c,M2_DUP,0,49,49,REJECTED_VERIFY,"shard 0 duplicated over position 1 | VerifyError(""1th shard init_pc mismatch: expected 134218356 != 134217728"")",0.066986
t1-c,M2_DUP,24,49,49,REJECTED_VERIFY,"shard 24 duplicated over position 25 | VerifyError(""25th shard init_pc mismatch: expected 134218340 != 134218324"")",2.325609
t1-c,M2_DUP,47,49,49,REJECTED_VERIFY,"shard 47 duplicated over position 48 | VerifyError(""48th shard init_pc mismatch: expected 134222920 != 134221560"")",2.860184
t1-c,M3_SWAP,0,49,49,REJECTED_VERIFY,"shards 0 and 1 transposed | VerifyError(""0th shard init_pc mismatch: expected 134217728 != 134218356"")",0.007175
t1-c,M3_SWAP,24,49,49,REJECTED_VERIFY,"shards 24 and 25 transposed | VerifyError(""24th shard init_pc mismatch: expected 134218324 != 134218340"")",1.574158
t1-c,M3_SWAP,47,49,49,REJECTED_VERIFY,"shards 47 and 48 transposed | VerifyError(""47th proof ecall/halt mismatch: expected false != true"")",3.795650
t1-c,M4_GRAFT,0,49,49,REJECTED_VERIFY,"position 0 replaced by donor shard 0 | VerifyError(""hint continuation mismatch"")",0.095219
t1-c,M4_GRAFT,24,49,49,REJECTED_VERIFY,"position 24 replaced by donor shard 24 | VerifyError(""hint continuation mismatch"")",2.069793
t1-c,M4_GRAFT,48,49,49,REJECTED_VERIFY,"position 48 replaced by donor shard 48 | VerifyError(""48th shard init_pc mismatch: expected 134222920 != 134218336"")",3.952680
t1-c,M5_TRUNC,-,49,24,REJECTED_VERIFY,"kept first 24 of 49 shards | VerifyError(""shard_ec_sum is not infinity"")",1.882748
t1-d,M0_LAYOUT,-,193,193,ACCEPTED,"reassembled=222401974 whole=222401974 on_disk=222401974 identical=true",0.0
t1-d,M0_ORIGINAL,-,193,193,ACCEPTED,"",12.340518
t1-d,M0_CONTROL,-,193,193,ACCEPTED,"reassemble all 193 shards in order",17.455156
t1-d,M1_DROP,0,193,192,REJECTED_VERIFY,"shard 0 removed | VerifyError(""0th shard init_pc mismatch: expected 134217728 != 134218356"")",0.059075
t1-d,M1_DROP,96,193,192,REJECTED_VERIFY,"shard 96 removed | VerifyError(""96th shard init_pc mismatch: expected 134218332 != 134218356"")",7.861401
t1-d,M1_DROP,192,193,192,REJECTED_VERIFY,"shard 192 removed | VerifyError(""shard_ec_sum is not infinity"")",10.842417
t1-d,M2_DUP,0,193,193,REJECTED_VERIFY,"shard 0 duplicated over position 1 | VerifyError(""1th shard init_pc mismatch: expected 134218356 != 134217728"")",0.081585
t1-d,M2_DUP,96,193,193,REJECTED_VERIFY,"shard 96 duplicated over position 97 | VerifyError(""97th shard init_pc mismatch: expected 134218356 != 134218332"")",4.715874
t1-d,M2_DUP,191,193,193,REJECTED_VERIFY,"shard 191 duplicated over position 192 | VerifyError(""192th shard init_pc mismatch: expected 134221580 != 134222928"")",9.196058
t1-d,M3_SWAP,0,193,193,REJECTED_VERIFY,"shards 0 and 1 transposed | VerifyError(""0th shard init_pc mismatch: expected 134217728 != 134218356"")",0.030018
t1-d,M3_SWAP,96,193,193,REJECTED_VERIFY,"shards 96 and 97 transposed | VerifyError(""96th shard init_pc mismatch: expected 134218332 != 134218356"")",4.565848
t1-d,M3_SWAP,191,193,193,REJECTED_VERIFY,"shards 191 and 192 transposed | VerifyError(""191th proof ecall/halt mismatch: expected false != true"")",9.555972
t1-d,M4_GRAFT,0,193,193,REJECTED_VERIFY,"position 0 replaced by donor shard 0 | VerifyError(""hint continuation mismatch"")",0.081546
t1-d,M4_GRAFT,96,193,193,REJECTED_VERIFY,"position 96 replaced by donor shard 47 | VerifyError(""96th shard init_pc mismatch: expected 134218332 != 134221560"")",4.634513
t1-d,M4_GRAFT,192,193,193,REJECTED_VERIFY,"position 192 replaced by donor shard 45 | VerifyError(""192th shard init_pc mismatch: expected 134221580 != 134218336"")",9.369496
t1-d,M5_TRUNC,-,193,96,REJECTED_VERIFY,"kept first 96 of 193 shards | VerifyError(""shard_ec_sum is not infinity"")",4.583953
