task,family,position,detail,verdict
t1-0,none,-,honest,VERIFY_ACCEPTED
t1-0,none,-,roundtrip,VERIFY_ACCEPTED
t1-0,coverage,-,artifact_bytes=1162285 stride=64 probed=18161,INFO
t1-0,proof_byte,0,xor01_from1,VERIFY_PANIC
t1-0,proof_byte,64,xor01_from253,VERIFY_REJECTED
t1-0,proof_byte,128,xor01_from0,VERIFY_REJECTED
t1-0,proof_byte,192,xor01_from238,VERIFY_REJECTED
t1-0,proof_byte,256,xor01_from1,DESERIALIZE_REJECTED
t1-0,proof_byte,320,xor01_from168,VERIFY_REJECTED
t1-0,proof_byte,384,xor01_from59,VERIFY_REJECTED
t1-0,proof_byte,448,xor01_from115,VERIFY_REJECTED
t1-0,proof_byte,512,xor01_from85,VERIFY_REJECTED
t1-0,proof_byte,576,xor01_from67,VERIFY_REJECTED
t1-0,proof_byte,640,xor01_from143,VERIFY_REJECTED
t1-0,proof_byte,704,xor01_from85,VERIFY_REJECTED
t1-0,proof_byte,768,xor01_from28,VERIFY_REJECTED
t1-0,proof_byte,832,xor01_from125,VERIFY_REJECTED
t1-0,proof_byte,896,xor01_from0,DESERIALIZE_REJECTED
t1-0,proof_byte,960,xor01_from0,DESERIALIZE_REJECTED
t1-0,proof_byte,1024,xor01_from79,VERIFY_REJECTED
t1-0,proof_byte,1088,xor01_from3,VERIFY_REJECTED
t1-0,proof_byte,1152,xor01_from67,VERIFY_REJECTED
t1-0,proof_byte,1216,xor01_from146,VERIFY_REJECTED
t1-0,proof_byte,1280,xor01_from241,VERIFY_REJECTED
t1-0,proof_byte,1344,xor01_from17,VERIFY_REJECTED
t1-0,proof_byte,1408,xor01_from214,VERIFY_REJECTED
t1-0,proof_byte,1472,xor01_from0,DESERIALIZE_REJECTED
t1-0,proof_byte,1536,xor01_from220,VERIFY_REJECTED
t1-0,proof_byte,1600,xor01_from86,VERIFY_REJECTED
t1-0,proof_byte,1664,xor01_from167,VERIFY_REJECTED
t1-0,proof_byte,1728,xor01_from133,VERIFY_REJECTED
t1-0,proof_byte,1792,xor01_from152,VERIFY_REJECTED
t1-0,proof_byte,1856,xor01_from38,VERIFY_REJECTED
t1-0,proof_byte,1920,xor01_from40,VERIFY_REJECTED
t1-0,proof_byte,1984,xor01_from0,DESERIALIZE_REJECTED
t1-0,proof_byte,2048,xor01_from0,DESERIALIZE_REJECTED
t1-0,proof_byte,2112,xor01_from122,VERIFY_REJECTED
