task,artifact_bytes,offset,offset_fraction,byte_before,byte_after,outcome,detail
t1-0,59512,0,0.000000,0x01,0x00,VERIFY_ACCEPTED,
t1-0,59512,64,0.001075,0x01,0x00,VERIFY_ACCEPTED,
t1-0,59512,128,0.002151,0x01,0x00,VERIFY_ACCEPTED,
t1-0,59512,192,0.003226,0x01,0x00,VERIFY_ACCEPTED,
t1-0,59512,256,0.004302,0x01,0x00,VERIFY_ACCEPTED,
t1-0,59512,320,0.005377,0xff,0xfe,VERIFY_ACCEPTED,
t1-0,59512,384,0.006452,0x01,0x00,VERIFY_ACCEPTED,
t1-0,59512,448,0.007528,0xfe,0xff,VERIFY_ACCEPTED,
t1-0,59512,512,0.008603,0x00,0x01,DESERIALIZE_REJECTED,Error: failed to deserialize proof as either ONNX or LLM format
t1-0,59512,576,0.009679,0x59,0x58,VERIFY_REJECTED,374148249669996121606883898919219750468468 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-0,59512,640,0.010754,0xc3,0xc2,VERIFY_REJECTED,251740432335937261873825899509886791324551 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-0,59512,704,0.011830,0x23,0x22,VERIFY_REJECTED,558909531970091490938749198040274528589619 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-0,59512,768,0.012905,0x57,0x56,VERIFY_REJECTED,534333591743252527818973707108737548155843 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-0,59512,832,0.013980,0x03,0x02,VERIFY_REJECTED,1: incorrect number of evaluations: 2 vs 3 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-0,59512,896,0.015056,0x9e,0x9f,VERIFY_REJECTED,769072844411513975435088916589300878237767 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-0,59512,960,0.016131,0xb5,0xb4,VERIFY_REJECTED,612872215501581355872868881723733679354931 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-0,59512,1024,0.017207,0x7b,0x7a,VERIFY_REJECTED,948878119905226112164287768245294766225387 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-0,59512,1088,0.018282,0x9b,0x9a,VERIFY_REJECTED,448313082465428785536696600391856273167622 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-0,59512,1152,0.019357,0x00,0x01,DESERIALIZE_REJECTED,Error: failed to deserialize proof as either ONNX or LLM format
t1-0,59512,1216,0.020433,0xd4,0xd5,VERIFY_REJECTED,053687247918205141744982685109483181094500 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-0,59512,1280,0.021508,0x0e,0x0f,VERIFY_REJECTED,456744224845707730185676520284527015273704 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-0,59512,1344,0.022584,0xc1,0xc0,VERIFY_REJECTED,"6337464800868374020529993108143927552, got 10260286616585345840422494974549247180837624486761396879095180128720057585338"
t1-0,59512,1408,0.023659,0xa8,0xa9,VERIFY_REJECTED,"37624486761396879095180128720057585338, got 1609007332817817457341598589536032014669883875200633654518142693669799156012"
t1-0,59512,1472,0.024735,0xab,0xaa,VERIFY_REJECTED,183188298287102419980202984572851461116960 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-0,59512,1536,0.025810,0x43,0x42,VERIFY_REJECTED,190244899652280624992517634815045200277459 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-0,59512,1600,0.026885,0x46,0x47,VERIFY_REJECTED,932111120045031063913633221799040809105229 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-0,59512,1664,0.027961,0x9c,0x9d,VERIFY_REJECTED,342349503992597102339873347242116346874696 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-0,59512,1728,0.029036,0x82,0x83,VERIFY_REJECTED,508114597081941844032263681727254326056168 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-0,59512,1792,0.030112,0xe5,0xe4,VERIFY_REJECTED,751006095462526648932359749617632598952517 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-0,59512,1856,0.031187,0x40,0x41,VERIFY_REJECTED,313729499162118336077953871703081702095228 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-0,59512,1920,0.032262,0xe9,0xe8,VERIFY_REJECTED,532202656086892677696234080125057450729447 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-0,59512,1984,0.033338,0x07,0x06,VERIFY_REJECTED,521413426748024317563022422378151301398126 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-0,59512,2048,0.034413,0x15,0x14,VERIFY_REJECTED,354313267735156556899553086575945024529506 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
