task,family,position,detail,verdict
t1-0,none,-,honest,VERIFY_ACCEPTED
t1-0,none,-,roundtrip,VERIFY_ACCEPTED
t1-0,output_word,0,xor1,VERIFY_REJECTED
t1-0,output_word,1,xor1,VERIFY_REJECTED
t1-0,output_word,2,xor1,VERIFY_REJECTED
t1-0,output_word,255,xor1_last,VERIFY_REJECTED
t1-0,input_word,0,xor1,VERIFY_REJECTED
t1-0,input_word,1,xor1,VERIFY_REJECTED
t1-0,input_word,255,xor1_last,VERIFY_REJECTED
t1-0,proof_byte,12468,xor01_from26,VERIFY_REJECTED
t1-0,proof_byte,12469,xor01_from9a,VERIFY_REJECTED
t1-0,proof_byte,12470,xor01_fromd2,VERIFY_REJECTED
t1-0,proof_byte,12471,xor01_frome3,VERIFY_REJECTED
t1-0,proof_byte,12472,xor01_from80,VERIFY_REJECTED
t1-0,proof_byte,12473,xor01_from15,VERIFY_REJECTED
t1-0,proof_byte,12474,xor01_from09,VERIFY_REJECTED
t1-0,proof_byte,12475,xor01_fromb8,VERIFY_REJECTED
t1-0,proof_byte,12476,xor01_from71,VERIFY_REJECTED
t1-0,proof_byte,12477,xor01_frome4,VERIFY_REJECTED
t1-0,proof_byte,12478,xor01_from8e,VERIFY_REJECTED
t1-0,proof_byte,12479,xor01_from93,VERIFY_REJECTED
t1-0,proof_byte,12480,xor01_from65,VERIFY_REJECTED
t1-0,proof_byte,12481,xor01_frombc,VERIFY_REJECTED
t1-0,proof_byte,12482,xor01_frome3,VERIFY_REJECTED
t1-0,proof_byte,12483,xor01_fromdd,VERIFY_REJECTED
t1-0,proof_byte,12484,xor01_from21,VERIFY_REJECTED
t1-0,proof_byte,12485,xor01_fromd2,VERIFY_REJECTED
t1-0,proof_byte,12486,xor01_fromcc,VERIFY_REJECTED
t1-0,proof_byte,12487,xor01_fromd7,VERIFY_REJECTED
t1-0,proof_byte,12488,xor01_from48,VERIFY_REJECTED
t1-0,proof_byte,12489,xor01_fromf1,VERIFY_REJECTED
t1-0,proof_byte,12490,xor01_from2f,VERIFY_REJECTED
t1-0,proof_byte,12491,xor01_from99,VERIFY_REJECTED
t1-0,proof_byte,12492,xor01_from2e,VERIFY_REJECTED
t1-0,proof_byte,12493,xor01_fromb2,VERIFY_REJECTED
t1-0,proof_byte,12494,xor01_from11,VERIFY_REJECTED
t1-0,proof_byte,12495,xor01_from69,VERIFY_REJECTED
