task,family,position,detail,verdict
t1-0,none,-,honest,VERIFY_ACCEPTED
t1-0,none,-,roundtrip,VERIFY_ACCEPTED
t1-0,output_word,0,xor1,VERIFY_REJECTED
t1-0,output_word,1,xor1,VERIFY_REJECTED
t1-0,output_word,2,xor1,VERIFY_REJECTED
t1-0,output_word,255,xor1_last,VERIFY_REJECTED
t1-0,input_word,0,xor1,VERIFY_REJECTED
t1-0,input_word,1,xor1,VERIFY_REJECTED
t1-0,input_word,255,xor1_last,VERIFY_REJECTED
t1-0,proof_byte,3204,xor01_from5e,VERIFY_ACCEPTED
t1-0,proof_byte,3204,xor02_from5e,VERIFY_ACCEPTED
t1-0,proof_byte,3204,xor04_from5e,VERIFY_ACCEPTED
t1-0,proof_byte,3204,xor08_from5e,VERIFY_ACCEPTED
t1-0,proof_byte,3204,xor10_from5e,VERIFY_ACCEPTED
t1-0,proof_byte,3204,xor20_from5e,VERIFY_ACCEPTED
t1-0,proof_byte,3204,xor40_from5e,VERIFY_ACCEPTED
t1-0,proof_byte,3204,xor80_from5e,VERIFY_ACCEPTED
t1-0,proof_byte,3204,xorff_from5e,VERIFY_ACCEPTED
t1-0,proof_byte,3205,xor01_fromd3,VERIFY_ACCEPTED
t1-0,proof_byte,3205,xor02_fromd3,VERIFY_ACCEPTED
t1-0,proof_byte,3205,xor04_fromd3,VERIFY_ACCEPTED
t1-0,proof_byte,3205,xor08_fromd3,VERIFY_ACCEPTED
t1-0,proof_byte,3205,xor10_fromd3,VERIFY_ACCEPTED
t1-0,proof_byte,3205,xor20_fromd3,VERIFY_ACCEPTED
t1-0,proof_byte,3205,xor40_fromd3,VERIFY_ACCEPTED
t1-0,proof_byte,3205,xor80_fromd3,VERIFY_ACCEPTED
t1-0,proof_byte,3205,xorff_fromd3,VERIFY_ACCEPTED
t1-0,proof_byte,3206,xor01_from43,VERIFY_ACCEPTED
t1-0,proof_byte,3206,xor02_from43,VERIFY_ACCEPTED
t1-0,proof_byte,3206,xor04_from43,VERIFY_ACCEPTED
t1-0,proof_byte,3206,xor08_from43,VERIFY_ACCEPTED
t1-0,proof_byte,3206,xor10_from43,VERIFY_ACCEPTED
t1-0,proof_byte,3206,xor20_from43,VERIFY_ACCEPTED
t1-0,proof_byte,3206,xor40_from43,VERIFY_ACCEPTED
t1-0,proof_byte,3206,xor80_from43,VERIFY_ACCEPTED
