task,family,position,detail,verdict
t1-0,none,-,honest,VERIFY_ACCEPTED
t1-0,none,-,roundtrip,VERIFY_ACCEPTED
t1-0,output_word,0,xor1,VERIFY_REJECTED
t1-0,output_word,1,xor1,VERIFY_REJECTED
t1-0,output_word,2,xor1,VERIFY_REJECTED
t1-0,output_word,255,xor1_last,VERIFY_REJECTED
t1-0,input_word,0,xor1,VERIFY_REJECTED
t1-0,input_word,1,xor1,VERIFY_REJECTED
t1-0,input_word,255,xor1_last,VERIFY_REJECTED
t1-0,proof_byte,0,xor1,DESERIALIZE_PANIC
t1-0,proof_byte,1,xor1,DESERIALIZE_REJECTED
t1-0,proof_byte,2,xor1,DESERIALIZE_REJECTED
t1-0,proof_byte,3,xor1,DESERIALIZE_REJECTED
t1-0,proof_byte,4,xor1,DESERIALIZE_REJECTED
t1-0,proof_byte,5,xor1,DESERIALIZE_REJECTED
t1-0,proof_byte,6,xor1,DESERIALIZE_REJECTED
t1-0,proof_byte,7,xor1,DESERIALIZE_REJECTED
t1-0,proof_byte,8,xor1,DESERIALIZE_REJECTED
t1-0,proof_byte,9,xor1,DESERIALIZE_PANIC
t1-0,proof_byte,10,xor1,DESERIALIZE_PANIC
t1-0,proof_byte,11,xor1,DESERIALIZE_PANIC
t1-0,proof_byte,12,xor1,DESERIALIZE_PANIC
t1-0,proof_byte,13,xor1,DESERIALIZE_PANIC
t1-0,proof_byte,14,xor1,DESERIALIZE_PANIC
t1-0,proof_byte,15,xor1,DESERIALIZE_PANIC
t1-0,proof_byte,16,xor1,DESERIALIZE_PANIC
t1-0,proof_byte,17,xor1,DESERIALIZE_PANIC
t1-0,proof_byte,18,xor1,DESERIALIZE_REJECTED
t1-0,proof_byte,19,xor1,DESERIALIZE_PANIC
t1-0,proof_byte,20,xor1,DESERIALIZE_PANIC
t1-0,proof_byte,21,xor1,DESERIALIZE_PANIC
t1-0,proof_byte,22,xor1,DESERIALIZE_PANIC
t1-0,proof_byte,23,xor1,DESERIALIZE_PANIC
t1-0,proof_byte,24,xor1,DESERIALIZE_PANIC
t1-0,proof_byte,25,xor1,DESERIALIZE_PANIC
t1-0,proof_byte,26,xor1,DESERIALIZE_PANIC
t1-0,proof_byte,27,xor1,VERIFY_REJECTED
t1-0,proof_byte,28,xor1,VERIFY_REJECTED
t1-0,proof_byte,29,xor1,VERIFY_REJECTED
t1-0,proof_byte,30,xor1,VERIFY_REJECTED
