
T1-a — corrupted-trace control, log_inv_rate=1
mode                   outcome            passed  detail
private_word/first     VERIFY_REJECTED    true    private[0] 0xffffffffffffff8b -> 0xffffffffffffff8a (low bit flipped)
private_word/middle    VERIFY_REJECTED    true    private[1216128] 0x0000000000001666 -> 0x0000000000001667 (low bit flipped)
private_word/last      VERIFY_REJECTED    true    private[2432255] 0xffffffffffffc201 -> 0xffffffffffffc200 (low bit flipped)
inout_word/first       VERIFY_REJECTED    true    inout[0] 0x000000000001fa9a -> 0x000000000001fa9b (low bit flipped)
inout_word/last        VERIFY_REJECTED    true    inout[767] 0xfffffffffffebd9e -> 0xfffffffffffebd9f (low bit flipped)
proof_byte/head        VERIFY_REJECTED    true    proof byte 0 of 460304 XOR 0x01
proof_byte/middle      VERIFY_REJECTED    true    proof byte 230152 of 460304 XOR 0x01
proof_byte/tail        VERIFY_REJECTED    true    proof byte 460303 of 460304 XOR 0x01

T1-a: 8/8 corruptions produced no accepted proof — PASS
