size,log_inv_rate,security_bits,n_test_queries,rep,bucket,self_nanos,wall_nanos,attributed_nanos,share_of_attributed
2048,1,96,232,0,a,177323916,345772792,345764125,0.512846
2048,1,96,232,0,b1,8112375,345772792,345764125,0.023462
2048,1,96,232,0,b2,0,345772792,345764125,0.000000
2048,1,96,232,0,c,0,345772792,345764125,0.000000
2048,1,96,232,0,d,160327834,345772792,345764125,0.463691
2048,1,96,232,1,a,174491158,336853041,336844375,0.518017
2048,1,96,232,1,b1,8178709,336853041,336844375,0.024280
2048,1,96,232,1,b2,0,336853041,336844375,0.000000
2048,1,96,232,1,c,0,336853041,336844375,0.000000
2048,1,96,232,1,d,154174508,336853041,336844375,0.457702
2048,1,96,232,2,a,162418464,317154292,317145209,0.512126
2048,1,96,232,2,b1,7511252,317154292,317145209,0.023684
2048,1,96,232,2,b2,0,317154292,317145209,0.000000
2048,1,96,232,2,c,0,317154292,317145209,0.000000
2048,1,96,232,2,d,147215493,317154292,317145209,0.464190
2048,1,96,232,3,a,173756616,330525667,330513416,0.525717
2048,1,96,232,3,b1,7601667,330525667,330513416,0.023000
2048,1,96,232,3,b2,0,330525667,330513416,0.000000
2048,1,96,232,3,c,0,330525667,330513416,0.000000
2048,1,96,232,3,d,149155133,330525667,330513416,0.451283
2048,1,96,232,4,a,162446266,316692292,316682625,0.512962
2048,1,96,232,4,b1,7558959,316692292,316682625,0.023869
2048,1,96,232,4,b2,0,316692292,316682625,0.000000
2048,1,96,232,4,c,0,316692292,316682625,0.000000
2048,1,96,232,4,d,146677400,316692292,316682625,0.463168
