size,log_inv_rate,rep,span,bucket,subbucket,self_nanos,hits
2048,1,0,"Build fracadd circuits",d,d_prodcheck,9657583,1
2048,1,0,"Fold index columns by rho",a,a_sumcheck_fold,3577583,1
2048,1,0,"Prepare witness",d,d_witness_prep,106875,1
2048,1,0,"Batched selector + C-root sumcheck",a,a_sumcheck_driver,65461,1
2048,1,0,"Reed-Solomon encode",d,d_ntt_encode,6021459,2
2048,1,0,"Regather per-limb evals",d,d_evals,6062334,1
2048,1,0,"Variable-base product check",d,d_prodcheck,149367,1
2048,1,0,"IntMul phase2 (Frobenius twist)",d,d_intmul_phase2,64833,1
2048,1,0,"Commit pushforwards",d,d_phase_glue,2084,1
2048,1,0,"prove_phase_2",d,d_phase_glue,969001,1
2048,1,0,"Compute batched witness",d,d_basefold_glue,827500,1
2048,1,0,"prover_phase_1",d,d_phase_glue,15375,1
2048,1,0,"Compute ring-switching equality indicator",d,d_ring_switch,1245708,2
2048,1,0,"MLE-check remaining rounds",a,a_sumcheck_driver,9541,1
2048,1,0,"fold_codeword",d,d_fri_codeword_fold,172000,2
2048,1,0,"build_g",d,d_shift_multilinear_build,11198125,2
2048,1,0,"fri::FRIQueryProver::prove_queries",d,d_pcs_query_open,290041,1
2048,1,0,"Expand tensor queries",d,d_tensor_expand,480042,1
2048,1,0,"run_sumcheck",a,a_sumcheck_driver,2119252,2
2048,1,0,"e001_sumcheck_execute",a,a_sumcheck_round_poly,145762209,473
2048,1,0,"Fold univariate round",a,a_sumcheck_fold,939583,1
2048,1,0,"shift_operator_table",d,d_shift_multilinear_build,46501,2
2048,1,0,"e001_sumcheck_fold",a,a_sumcheck_fold,20732027,473
2048,1,0,"[phase] BitAnd check",d,d_phase_glue,10043,1
2048,1,0,"Build logup* witnesses",d,d_witness_prep,8578375,1
2048,1,0,"Build power tables",d,d_witness_prep,745500,1
2048,1,0,"Expand evaluation suffix query",d,d_tensor_expand,5833,2
2048,1,0,"[phase] IntMul check",d,d_phase_glue,740583,1
2048,1,0,"build_monster_segments",d,d_shift_multilinear_build,8251083,1
2048,1,0,"Gather lookup index columns",d,d_column_assembly,342209,1
2048,1,0,"Compute variable-base prodcheck layers",d,d_prodcheck,65348750,1
2048,1,0,"Merkle Tree",b1,b1_merkle_commit_glue,3916,3
2048,1,0,"logup* pushforward reduction",a,a_sumcheck_driver,98628,1
2048,1,0,"logup* reduction",d,d_phase_glue,12334,1
2048,1,0,"Reduce linear relations to committed openings",d,d_basefold_glue,13129,1
2048,1,0,"hash_leaves",b1,b1_merkle_leaf_hash,6521583,5
2048,1,0,"fri::FRIFolder::finalize",d,d_fri_finalize,125,1
2048,1,0,"Compute base layer partial evals",d,d_prodcheck,6205917,1
2048,1,0,"Final batched sumcheck",a,a_sumcheck_driver,20666,1
2048,1,0,"Assemble columns",d,d_column_assembly,5528792,2
2048,1,0,"Compute univariate round message",a,a_univariate_round,2828333,1
2048,1,0,"Basefold MLE-check ZK (batched)",a,a_sumcheck_driver,711083,1
2048,1,0,"FRI Round Fold",d,d_fri_codeword_fold,1042,2
2048,1,0,"Build embedding table",d,d_column_assembly,370875,1
2048,1,0,"FRI Initial Fold",d,d_fri_codeword_fold,765125,1
2048,1,0,"e001_merkle_inner_nodes",b1,b1_merkle_inner_nodes,1576584,5
2048,1,0,"Build IntMul witness",d,d_witness_prep,35833,1
2048,1,0,"Open pushforward relations",d,d_phase_glue,120416,1
2048,1,0,"FRI Fold",d,d_fri_codeword_fold,15417,2
2048,1,0,"Compute ring-switching partial evaluations",d,d_ring_switch,1960042,2
2048,1,0,"Compute output bit evals",d,d_evals,3298458,1
2048,1,0,"Compute univariate LDE table",a,a_univariate_round,66875,1
2048,1,0,"Commit witness",d,d_commit_glue,1667,1
2048,1,0,"[phase] Shift Reduction",d,d_phase_glue,25000,1
2048,1,0,"Merkle commit",b1,b1_merkle_commit_glue,10292,2
2048,1,0,"Evaluate exponent root",d,d_evals,143750,1
2048,1,0,"logup* (committed)",d,d_phase_glue,17625,1
2048,1,0,"Combined GKR",a,a_sumcheck_driver,392675,1
2048,1,0,"Prove",d,d_prove_root,247958,1
2048,1,0,"Compute fixed-base prodcheck layers",d,d_prodcheck,11502042,1
2048,1,0,"Batched constant-base prodcheck",d,d_prodcheck,8720291,1
2048,1,0,"[phase] PCS Opening",d,d_phase_glue,6376,1
2048,1,0,"Reed–Solomon Encode",d,d_ntt_encode,4416,2
2048,1,1,"Compute output bit evals",d,d_evals,3356917,1
2048,1,1,"Assemble columns",d,d_column_assembly,5634042,2
2048,1,1,"Open pushforward relations",d,d_phase_glue,120834,1
2048,1,1,"e001_merkle_inner_nodes",b1,b1_merkle_inner_nodes,1835790,5
2048,1,1,"IntMul phase2 (Frobenius twist)",d,d_intmul_phase2,82833,1
2048,1,1,"Compute ring-switching partial evaluations",d,d_ring_switch,1954875,2
2048,1,1,"Combined GKR",a,a_sumcheck_driver,286741,1
2048,1,1,"fold_codeword",d,d_fri_codeword_fold,162042,2
2048,1,1,"run_sumcheck",a,a_sumcheck_driver,2103083,2
2048,1,1,"Compute fixed-base prodcheck layers",d,d_prodcheck,11243792,1
2048,1,1,"Final batched sumcheck",a,a_sumcheck_driver,13376,1
2048,1,1,"Reed-Solomon encode",d,d_ntt_encode,6015291,2
2048,1,1,"Prove",d,d_prove_root,249916,1
2048,1,1,"Commit witness",d,d_commit_glue,1916,1
2048,1,1,"Compute ring-switching equality indicator",d,d_ring_switch,1282041,2
2048,1,1,"Regather per-limb evals",d,d_evals,5756709,1
2048,1,1,"Compute base layer partial evals",d,d_prodcheck,6355708,1
2048,1,1,"Merkle commit",b1,b1_merkle_commit_glue,29543,2
2048,1,1,"Compute univariate LDE table",a,a_univariate_round,61875,1
2048,1,1,"[phase] BitAnd check",d,d_phase_glue,5668,1
2048,1,1,"Batched selector + C-root sumcheck",a,a_sumcheck_driver,68957,1
2048,1,1,"[phase] IntMul check",d,d_phase_glue,669998,1
2048,1,1,"prover_phase_1",d,d_phase_glue,4418,1
2048,1,1,"MLE-check remaining rounds",a,a_sumcheck_driver,9584,1
2048,1,1,"Merkle Tree",b1,b1_merkle_commit_glue,2752,3
2048,1,1,"Compute variable-base prodcheck layers",d,d_prodcheck,63752833,1
2048,1,1,"Gather lookup index columns",d,d_column_assembly,341959,1
