label,task,macs,cycles,rayon_threads,max_cycle_per_shard,num_shards,status,N,prove_s_median,prove_s_min,prove_s_max,real_s_median,cpu_ratio_median,peak_rss_bytes,peak_footprint_bytes,proof_bytes,MAC_per_s,cycles_per_s,bytes_per_MAC_footprint,bytes_per_cycle_footprint,bytes_per_MAC_rss
t1-0-t10-s536870912-n5,t1-0,65536,3203656,10,536870912,1,OK,5,3.67,3.31,3.88,22.32,2.1895,5404950528,5345956064,1162285,17857.22070844687,872930.7901907357,81572.81591796875,1668.704774794797,82473.0
t1-0-t2-s536870912-n5,t1-0,65536,3203656,2,536870912,1,OK,2,9.6,9.6,9.6,29.585,1.3520500000000002,5323587584,5283631352,1162285,6826.666666666667,333714.1666666667,80621.81628417969,1649.2505287708793,81231.5
t1-a-t10-s2097152-n1,t1-a,589824,25265476,10,2097152,13,OK,1,44.04,44.04,44.04,64.85,5.4788,8875573248,8821709472,13577390,13392.91553133515,573693.8237965486,14956.511555989584,349.1606282026905,15047.833333333334
t1-a-t10-s33554432-n1,t1-a,589824,25265476,10,33554432,1,OK,1,20.0,20.0,20.0,39.22,4.2251,13282721792,13221291872,1379317,29491.2,1263273.8,22415.65597873264,523.2947866092054,22519.805555555555
t1-a-t10-s536870912-n3,t1-a,589824,25265476,10,536870912,1,OK,3,20.1,20.0,20.3,39.34,4.2196,13252476928,13220767584,1379317,29344.477611940296,1256988.855721393,22414.76708984375,523.2740354466308,22468.527777777777
t1-a-t10-s8388608-n1,t1-a,589824,25265476,10,8388608,4,OK,1,30.02,30.02,30.02,49.59,5.1389,9201369088,9161923616,4614432,19647.701532311792,841621.4523650899,15533.317762586805,362.6262024907031,15600.194444444445
t1-b-t10-s536870912-n2,t1-b,2359296,100983792,10,536870912,2,OK,2,104.5,103.8,105.2,128.55,5.3078,16160882688,36568000912,2844740,22576.995215311006,966352.0765550239,15499.539232042102,362.11752586989405,6849.875
t2-t1-s536870912-n5,t2,92224,4499472,1,536870912,1,FAIL_rc101,0,,,,,,,,,,,,,
t2-t10-s536870912-n5,t2,92224,4499472,10,536870912,1,OK,5,4.0,3.98,4.27,22.23,2.435,5563924480,5528359280,1188781,23056.0,1124868.0,59944.90891741846,1228.6684482090343,60330.54823039556
t3-t10-s536870912-n3,t3,737792,35505916,10,536870912,1,OK,3,26.3,25.7,27.8,46.5,4.5675,14040825856,15159176520,1424885,28052.927756653993,1350034.8288973384,20546.680527845245,426.9479069347204,19030.873004857738
