label,task,macs,bitlen,rayon_threads,status,N,warmup,prove_s_median,prove_s_min,prove_s_max,parse_quantize_s,setup_ctx_s,ctx_store_roundtrip_s,real_s,cpu_ratio,peak_rss_bytes,peak_footprint_bytes,MAC_per_s,bytes_per_MAC_footprint,bytes_per_MAC_rss,sumcheck_thread_note,swap_used_mb,loadavg_1m,sleep_verdict,onnx_padded_note
t1-0-q8-t1-n6,t1-0,65536,8,1,PROVED_NOWRITE,5,1,0.9777,0.962,0.994,,1.1908,0.9535,8.02,1.8292,254640128,235995832,67030,3601.0,3885.5,,10234.56,2.28,OK,"[1, 256]"
t1-a-q8-t1-n6,t1-a,589824,8,1,PROVED_NOWRITE,5,1,7.8264,7.7093,7.8911,,18.1254,15.1974,80.34,1.7053,1947074560,1767688160,75363,2997.0,3301.1,,10234.56,2.34,OK,"[1, 768]"
t2-q8-t1-n6,t2,92224,8,1,FAIL_rc1,0,1,,,,,1.2253,0.9676,2.22,0.9955,98402304,78086672,,,,,10098.56,3.36,OK,"[1, 200]"
t1-0-q8-t10-n6,t1-0,65536,8,10,PROVED_NOWRITE,5,1,0.3989,0.3887,0.4014,,0.1811,0.9712,3.56,5.8146,225722368,207258464,164300,3162.5,3444.2,1,10098.56,4.85,OK,"[1, 256]"
t1-a-q8-t10-n6,t1-a,589824,8,10,PROVED_NOWRITE,5,1,2.6602,2.6114,2.7197,,2.4101,15.4899,33.94,5.1149,1857224704,1718569024,221722,2913.7,3148.8,1,10098.56,4.85,OK,"[1, 768]"
t2-q8-t10-n6,t2,92224,8,10,FAIL_rc1,0,1,,,,,0.1864,0.9694,1.17,2.2564,105021440,84673040,,,,,10082.56,14.10,OK,"[1, 200]"
t3-as-8-q8-t1-n8,t3-as-8,737792,8,1,FAIL_rc1,0,0,,,,,1.2609,0.9642,2.25,0.9956,100024320,79708688,,,,,10082.56,13.29,OK,
t3-as-8-q8-t10-n8,t3-as-8,737792,8,10,FAIL_rc1,0,0,,,,,0.1994,0.9768,1.20,2.2583,104333312,83968504,,,,,10082.56,13.29,OK,
t2-q12-t1-n6,t2,92224,12,1,FAIL_rc1,0,1,,,,,1.2166,0.9637,2.21,0.9955,96272384,75956752,,,,,10082.56,13.29,OK,"[1, 200]"
t1-0-q12-t1-n6,t1-0,65536,12,1,PROVED_NOWRITE,5,1,0.9768,0.9686,0.9868,,1.2097,0.9803,8.08,1.8205,203472896,184910496,67095,2821.5,3104.8,,10082.56,12.31,OK,"[1, 256]"
t1-b-q8-t1-n1,t1-b,2359296,8,1,FAIL_rc1,0,1,,,,,,,0.01,1.0000,31948800,18514376,,,,,10082.56,11.64,OK,"[4, 768]"
t1-c-q8-t1-n1,t1-c,9437184,8,1,FAIL_rc1,0,1,,,,,,,0.01,1.0000,32047104,18612680,,,,,10082.56,11.64,OK,"[16, 768]"
t1-d-q8-t1-n1,t1-d,37748736,8,1,FAIL_rc1,0,1,,,,,,,0.02,0.5000,32243712,18809288,,,,,10082.56,11.64,OK,"[64, 768]"
t3-batch8-q8-t1-n1,t3-batch8,737792,8,1,FAIL_rc1,0,1,,,,,,,0.00,,20414464,6570440,,,,,10082.56,11.59,OK,
