label,task,macs,relus_published,backend,regime,gadget,threads,nb_tasks,gogc,gomemlimit,reps,status,constraints,domain_cardinality,padding_ratio,compile_ms,setup_ms,srs_ms,pk_bytes,vk_bytes,prove_ms_median,prove_ms_min,prove_ms_max,verify_ms_median,proof_bytes,proof_bytes_raw,peak_rss_bytes,peak_footprint_bytes,cpu_ratio,max_abs_intermediate,mac_per_s,bytes_per_mac_footprint,bytes_per_mac_rss,constraints_per_mac,bytes_per_constraint_footprint
t1-0-groth16-rA-t10-gdefault-moff-nt0-n5,t1-0,65536,0,groth16,A,hintedsign,10,0,default,off,5,OK,197763,262144,1.3255,309.933,14110.240,,44740553,8688,662.513,654.559,673.977,2.132,196,388,620822528,618906608,6.3454,265403,98920,9443.77,9473.00,3.0176,3129.54
t2-groth16-rA-t10-gdefault-moff-nt0-n5,t2,92224,448,groth16,A,hintedsign,10,0,default,off,5,OK,283408,524288,1.8499,400.327,21503.941,,68915955,528,1113.879,1065.266,1192.851,1.920,196,388,1048838144,1040696592,6.4550,14623789560139,82795,11284.44,11372.72,3.0730,3672.08
t1-a-groth16-rA-t10-gdefault-moff-nt0-n3,t1-a,589824,0,groth16,A,hintedsign,10,0,default,off,3,OK,1774726,2097152,1.1817,2831.332,137285.262,,393253967,25072,5771.056,5730.811,5845.812,2.753,196,388,4216537088,4212641248,6.5588,532359,102204,7142.20,7148.81,3.0089,2373.69
t3-groth16-rA-t10-gdefault-moff-nt0-n3,t3,737792,3584,groth16,A,hintedsign,10,0,default,off,3,OK,973058,1048576,1.0776,1707.309,38581.267,,136454535,752,1941.312,1913.918,1968.736,1.881,196,388,1807138816,1801307960,6.6817,19286700869800,380048,2441.48,2449.39,1.3189,1851.18
t1-b-groth16-rA-t10-gdefault-moff-nt0-n1,t1-b,2359296,0,groth16,A,hintedsign,10,0,default,off,1,OK,3555722,4194304,1.1796,6709.727,161892.141,,578425015,98800,7773.408,7773.408,7773.408,3.965,196,388,5413879808,5410623760,6.6409,602681,303509,2293.32,2294.70,1.5071,1521.67
t1-c-groth16-rA-t10-gdefault-moff-nt0-n1,t1-c,9437184,0,groth16,A,hintedsign,10,0,default,off,1,OK,10679708,16777216,1.5709,22484.151,355142.902,,1453343515,393712,22667.542,22667.542,22667.542,8.255,196,388,6960726016,18867500880,6.8268,599015,416330,1999.27,737.59,1.1317,1766.67
t1-0-plonk-rA-t10-gdefault-moff-nt0-n5,t1-0,65536,0,plonk,A,hintedsign,10,0,default,off,5,OK,526592,1048576,1.9912,244.793,2105.556,16060.216,67143352,34384,9016.392,8836.669,9104.699,1.732,584,904,2617507840,2611661200,7.3079,265403,7269,39850.79,39940.00,8.0352,4959.55
t2-plonk-rA-t10-gdefault-moff-nt0-n5,t2,92224,448,plonk,A,hintedsign,10,0,default,off,5,OK,758448,1048576,1.3825,320.719,2397.169,14940.496,67143352,34384,9653.859,9525.017,10019.643,1.608,584,904,2763800576,2707212760,7.2939,14623789560139,9553,29354.75,29968.34,8.2240,3569.41
t1-a-plonk-rA-t10-gdefault-moff-nt0-n3,t1-a,589824,0,plonk,A,hintedsign,10,0,default,off,3,OK,4723968,8388608,1.7758,2244.020,15455.666,119740.199,536905400,34384,95125.691,88256.540,113894.516,3.348,584,904,12532776960,16806261168,6.4561,532359,6200,28493.69,21248.33,8.0091,3557.66
t3-plonk-rA-t10-gdefault-moff-nt0-n3,t3,737792,3584,plonk,A,hintedsign,10,0,default,off,3,OK,2188800,4194304,1.9163,935.480,7947.716,64169.548,268469944,34384,36660.758,36012.439,36828.193,1.613,584,904,8759066624,8733137544,7.1867,19286700869800,20125,11836.86,11872.00,2.9667,3989.92
t1-b-plonk-rA-t10-gdefault-moff-nt0-n1,t1-b,2359296,0,plonk,A,hintedsign,10,0,default,off,1,OK,8276736,8388608,1.0135,3957.907,16042.903,121966.534,536905400,34384,75842.925,75842.925,75842.925,2.825,584,904,10400301056,14529440472,7.5491,602681,31108,6158.38,4408.22,3.5081,1755.46
t1-0-groth16-rB-t10-gdefault-moff-nt0-n5,t1-0,65536,0,groth16,B,hintedsign,10,0,default,off,5,OK,1026,2048,1.9961,160.994,98.107,,224935,8688,10.352,8.720,10.783,2.054,196,388,23478272,17891928,3.2121,265403,6330757,273.01,358.25,0.0157,17438.53
t2-groth16-rB-t10-gdefault-moff-nt0-n5,t2,92224,448,groth16,B,hintedsign,10,0,default,off,5,OK,6555,8192,1.2497,203.184,540.887,,1478761,528,42.338,41.567,43.177,1.814,196,388,43941888,35340840,4.8447,14623789560139,2178280,383.21,476.47,0.0711,5391.43
t1-a-groth16-rB-t10-gdefault-moff-nt0-n5,t1-a,589824,0,groth16,B,hintedsign,10,0,default,off,5,OK,4099,8192,1.9985,1379.595,287.114,,740041,25072,27.083,26.135,27.783,2.440,196,388,43237376,37552704,2.3351,532359,21778385,63.67,73.31,0.0069,9161.43
t3-groth16-rB-t10-gdefault-moff-nt0-n5,t3,737792,3584,groth16,B,hintedsign,10,0,default,off,5,OK,41724,65536,1.5707,1398.508,3173.095,,9370523,752,200.163,190.341,202.477,1.866,196,388,206323712,200377040,4.8430,19286700869800,3685956,271.59,279.65,0.0566,4802.44
t1-b-groth16-rB-t10-gdefault-moff-nt0-n5,t1-b,2359296,0,groth16,B,hintedsign,10,0,default,off,5,OK,15624,16384,1.0486,4950.627,1101.610,,2291571,98800,69.586,61.598,73.721,4.259,196,388,101466112,95650416,2.0707,602681,33904751,40.54,43.01,0.0066,6122.02
t1-c-groth16-rB-t10-gdefault-moff-nt0-n5,t1-c,9437184,0,groth16,B,hintedsign,10,0,default,off,5,OK,61722,65536,1.0618,18246.957,3046.750,,8989143,393712,194.887,192.622,196.972,7.738,196,388,340803584,334463768,2.1632,599015,48423876,35.44,36.11,0.0065,5418.87
t1-d-groth16-rB-t10-gdefault-moff-nt0-n5,t1-d,37748736,0,groth16,B,hintedsign,10,0,default,off,5,OK,246114,262144,1.0651,71520.890,11581.691,,35779431,1573360,722.903,710.538,746.573,21.201,196,388,1248657408,1243202976,2.1711,614632,52218259,32.93,33.08,0.0065,5051.33
t1-0-plonk-rB-t10-gdefault-moff-nt0-n5,t1-0,65536,0,plonk,B,hintedsign,10,0,default,off,5,OK,67592,131072,1.9392,41.914,326.914,1785.909,8423096,34384,1119.356,1113.196,1131.700,1.580,584,904,337018880,330973976,7.4444,265403,58548,5050.26,5142.50,1.0314,4896.64
