label,task,macs,threads,padding,status,prove_ms_median,verify_ms_median,proof_bytes,setup_ms,peak_rss_bytes,peak_footprint_bytes,cpu_ratio,mac_per_s,bytes_per_mac_footprint,bytes_per_mac_rss
t1-0-t1-p1-n5,t1-0,65536,1,1,OK,64.981,5.595,21419,49.398,26542080,18874752,1.9792,1008541,288.01,405.00
t1-a-t1-p1-n5,t1-a,589824,1,1,OK,204.592,22.056,23435,165.511,85458944,77824432,1.9346,2882928,131.95,144.89
t1-b-t1-p1-n5,t1-b,2359296,1,1,OK,584.626,22.419,25307,571.005,218218496,210715224,2.1533,4035565,89.31,92.49
t1-c-t1-p1-n5,t1-c,9437184,1,1,OK,2163.259,22.419,27179,2064.030,529760256,522404656,2.0669,4362485,55.36,56.14
t1-d-t1-p1-n5,t1-d,37748736,1,1,OK,8533.842,26.316,29051,8203.784,1954643968,1948010320,2.0041,4423416,51.60,51.78
t1-0-t1-p0-n5,t1-0,65536,1,0,OK,63.317,5.447,21419,72.189,26509312,18841984,0.7239,1035046,287.51,404.50
t1-a-t1-p0-n5,t1-a,589824,1,0,FAIL_rc101,,,,162.190,29343744,21922128,0.9091,,,
t1-b-t1-p0-n5,t1-b,2359296,1,0,FAIL_rc101,,,,548.657,49414144,42058136,0.9846,,,
t1-c-t1-p0-n5,t1-c,9437184,1,0,FAIL_rc101,,,,2170.890,103399424,96059824,0.9960,,,
t1-d-t1-p0-n5,t1-d,37748736,1,0,FAIL_rc101,,,,8453.868,312344576,305103448,0.9979,,,
t1-a-t4-p1-n5,t1-a,589824,4,1,OK,114.184,8.953,23435,49.503,93962240,86360616,4.9241,5165557,146.42,159.31
t1-c-t4-p1-n5,t1-c,9437184,4,1,OK,841.163,9.661,27179,556.094,562118656,554730312,6.1959,11219210,58.78,59.56
t1-a-t10-p1-n5,t1-a,589824,10,1,OK,135.542,7.813,23435,31.845,95158272,87523832,7.5281,4351596,148.39,161.33
t1-c-t10-p1-n5,t1-c,9437184,10,1,OK,808.092,8.528,27179,305.135,523976704,516736032,8.3561,11678353,54.76,55.52
t2-t1-p1-n5,t2,92224,1,1,FAIL_einsum_unsupported,,,,50.803,14237696,8339792,0.8333,,,
t3-t1-p1-n5,t3,737792,1,1,FAIL_einsum_unsupported,,,,329.346,26050560,18153856,0.9730,,,
