task,rep,is_warmup,real_s,user_s,sys_s,cpu_ratio,peak_rss_bytes,peak_footprint_bytes,artifact_b64_bytes,artifact_decoded_bytes,verdict
t1-0,0,true,0.04,0.02,0.04,1.5000,12910592,4325784,79352,59512,VERIFY_ACCEPTED
t1-0,1,false,0.02,0.01,0.02,1.5000,12828672,4260248,79352,59512,VERIFY_ACCEPTED
t1-0,2,false,0.02,0.02,0.03,2.5000,12861440,4293016,79352,59512,VERIFY_ACCEPTED
t1-0,3,false,0.02,0.02,0.03,2.5000,12943360,4358528,79352,59512,VERIFY_ACCEPTED
t1-0,4,false,0.02,0.02,0.04,3.0000,12910592,4342168,79352,59512,VERIFY_ACCEPTED
t1-0,5,false,0.02,0.01,0.03,2.0000,12877824,4309400,79352,59512,VERIFY_ACCEPTED
t1-a,0,true,0.02,0.02,0.04,3.0000,13287424,4719000,155208,116404,VERIFY_ACCEPTED
t1-a,1,false,0.02,0.02,0.04,3.0000,13287424,4719000,155208,116404,VERIFY_ACCEPTED
t1-a,2,false,0.02,0.02,0.04,3.0000,13156352,4587928,155208,116404,VERIFY_ACCEPTED
t1-a,3,false,0.02,0.02,0.03,2.5000,13238272,4669848,155208,116404,VERIFY_ACCEPTED
t1-a,4,false,0.02,0.02,0.03,2.5000,13369344,4800920,155208,116404,VERIFY_ACCEPTED
t1-a,5,false,0.02,0.02,0.04,3.0000,13303808,4735384,155208,116404,VERIFY_ACCEPTED
